D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, rastrigin, 4.931e-06, 7.773e-12, 7.852e-12, 68.43
2, myDE, rastrigin, 4.393e-06, 8.344e-12, 8.428e-12, 58.30
2, myFA, rastrigin, 1.296e-01, 5.176e-02, 5.228e-02, 870.11
5, myPSO, sphere, 6.983e-06, 3.778e-12, 3.816e-12, 70.27
5, myDE, sphere, 6.684e-06, 5.078e-12, 5.129e-12, 68.42
5, myFA, sphere, 7.321e-06, 4.163e-12, 4.205e-12, 563.87
5, myPSO, rastrigin, 8.457e-01, 6.608e-01, 6.675e-01, 746.48
5, myDE, rastrigin, 9.953e-02, 8.909e-02, 8.999e-02, 415.25
5, myFA, rastrigin, 5.149e+00, 7.860e+00, 7.939e+00, 1000.00
20, myPSO, sphere, 9.010e-06, 8.904e-13, 8.993e-13, 238.10
20, myDE, sphere, 3.220e-03, 9.783e-04, 9.882e-04, 350.94
20, myFA, sphere, 8.664e-06, 1.399e-12, 1.413e-12, 784.37
20, myPSO, rastrigin, 3.152e+01, 1.131e+02, 1.142e+02, 1000.00
20, myDE, rastrigin, 2.981e+01, 3.809e+02, 3.848e+02, 1000.00
20, myFA, rastrigin, 3.691e+01, 1.531e+02, 1.547e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.827e-06, 7.270e-12, 7.343e-12, 32.15
2, myDE, sphere, 4.098e-06, 7.839e-12, 7.918e-12, 21.91
2, myFA, sphere, 5.167e-06, 8.242e-12, 8.325e-12, 246.14
2, myPSO, rastrigin, 5.241e-06, 7.677e-12, 7.755e-12, 67.09
2, myDE, rastrigin, 4.292e-06, 8.578e-12, 8.664e-12, 56.55
2, myFA, rastrigin, 1.212e-01, 5.358e-02, 5.413e-02, 789.61
5, myPSO, sphere, 6.887e-06, 4.783e-12, 4.831e-12, 70.68
5, myDE, sphere, 6.606e-06, 4.432e-12, 4.477e-12, 67.73
5, myFA, sphere, 7.242e-06, 3.697e-12, 3.734e-12, 557.19
5, myPSO, rastrigin, 8.955e-01, 6.237e-01, 6.300e-01, 750.20
5, myDE, rastrigin, 9.951e-02, 8.910e-02, 9.000e-02, 403.32
5, myFA, rastrigin, 5.293e+00, 1.110e+01, 1.121e+01, 998.40
20, myPSO, sphere, 9.101e-06, 6.687e-13, 6.754e-13, 239.28
20, myDE, sphere, 2.238e-03, 2.295e-04, 2.318e-04, 390.37
20, myFA, sphere, 9.018e-06, 6.189e-13, 6.252e-13, 787.90
20, myPSO, rastrigin, 3.419e+01, 1.170e+02, 1.182e+02, 1000.00
20, myDE, rastrigin, 3.103e+01, 4.531e+02, 4.577e+02, 1000.00
20, myFA, rastrigin, 3.931e+01, 1.022e+02, 1.032e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
