D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myFA, rastrigin, 1.037e-01, 3.939e-02, 3.979e-02, 785.98
5, myPSO, sphere, 7.157e-06, 3.358e-12, 3.392e-12, 70.34
5, myDE, sphere, 6.954e-06, 4.499e-12, 4.544e-12, 67.70
5, myFA, sphere, 7.256e-06, 5.578e-12, 5.635e-12, 563.11
5, myPSO, rastrigin, 9.950e-01, 8.909e-01, 8.999e-01, 774.86
5, myDE, rastrigin, 8.955e-02, 1.207e-01, 1.219e-01, 390.32
5, myFA, rastrigin, 5.685e+00, 1.069e+01, 1.080e+01, 1000.00
20, myPSO, sphere, 8.972e-06, 7.737e-13, 7.815e-13, 239.02
20, myDE, sphere, 5.623e-04, 8.433e-06, 8.518e-06, 389.08
20, myFA, sphere, 8.718e-06, 8.844e-13, 8.934e-13, 785.24
20, myPSO, rastrigin, 3.195e+01, 9.947e+01, 1.005e+02, 1000.00
20, myDE, rastrigin, 2.703e+01, 4.346e+02, 4.390e+02, 1000.00
20, myFA, rastrigin, 3.773e+01, 1.179e+02, 1.191e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.809e-06, 8.192e-12, 8.275e-12, 30.86
2, myDE, sphere, 4.220e-06, 7.479e-12, 7.554e-12, 21.95
2, myFA, sphere, 5.017e-06, 8.875e-12, 8.965e-12, 233.33
2, myPSO, rastrigin, 5.474e-06, 8.513e-12, 8.599e-12, 70.14
2, myDE, rastrigin, 4.948e-06, 8.955e-12, 9.046e-12, 57.13
2, myFA, rastrigin, 1.362e-01, 5.836e-02, 5.895e-02, 833.47
5, myPSO, sphere, 7.203e-06, 5.735e-12, 5.793e-12, 70.83
5, myDE, sphere, 6.557e-06, 5.487e-12, 5.543e-12, 68.04
5, myFA, sphere, 7.223e-06, 4.850e-12, 4.899e-12, 556.58
5, myPSO, rastrigin, 1.015e+00, 9.103e-01, 9.195e-01, 778.59
5, myDE, rastrigin, 1.095e-01, 9.691e-02, 9.789e-02, 424.46
5, myFA, rastrigin, 4.947e+00, 7.168e+00, 7.240e+00, 998.30
20, myPSO, sphere, 9.148e-06, 5.119e-13, 5.171e-13, 241.48
20, myDE, sphere, 8.416e-04, 6.682e-05, 6.750e-05, 370.40
20, myFA, sphere, 8.845e-06, 9.200e-13, 9.293e-13, 783.10
20, myPSO, rastrigin, 3.285e+01, 1.133e+02, 1.144e+02, 1000.00
20, myDE, rastrigin, 3.166e+01, 4.379e+02, 4.423e+02, 1000.00
20, myFA, rastrigin, 3.816e+01, 1.073e+02, 1.084e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.670e-06, 8.700e-12, 8.788e-12, 31.72
2, myDE, sphere, 4.465e-06, 8.842e-12, 8.931e-12, 21.82
2, myFA, sphere, 4.748e-06, 9.537e-12, 9.633e-12, 235.79
2, myPSO, rastrigin, 4.701e-06, 8.311e-12, 8.395e-12, 67.60
2, myDE, rastrigin, 4.278e-06, 7.408e-12, 7.483e-12, 57.17
2, myFA, rastrigin, 1.498e-01, 8.605e-02, 8.692e-02, 796.41
5, myPSO, sphere, 6.798e-06, 4.287e-12, 4.330e-12, 70.76
5, myDE, sphere, 6.840e-06, 4.839e-12, 4.888e-12, 66.87
5, myFA, sphere, 7.208e-06, 4.895e-12, 4.945e-12, 556.89
5, myPSO, rastrigin, 1.065e+00, 9.944e-01, 1.004e+00, 814.12
5, myDE, rastrigin, 9.963e-02, 8.932e-02, 9.023e-02, 410.69
5, myFA, rastrigin, 4.887e+00, 7.442e+00, 7.517e+00, 1000.00
20, myPSO, sphere, 9.125e-06, 5.358e-13, 5.412e-13, 241.03
20, myDE, sphere, 3.753e-04, 5.753e-06, 5.811e-06, 403.48
20, myFA, sphere, 8.882e-06, 7.960e-13, 8.040e-13, 785.81
20, myPSO, rastrigin, 3.051e+01, 1.001e+02, 1.011e+02, 1000.00
20, myDE, rastrigin, 2.897e+01, 5.133e+02, 5.185e+02, 1000.00
20, myFA, rastrigin, 3.870e+01, 1.310e+02, 1.323e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.160e-06, 7.301e-12, 7.375e-12, 31.87
2, myDE, sphere, 3.675e-06, 6.993e-12, 7.064e-12, 22.23
2, myFA, sphere, 4.710e-06, 9.678e-12, 9.776e-12, 231.21
2, myPSO, rastrigin, 5.431e-06, 7.954e-12, 8.035e-12, 70.83
2, myDE, rastrigin, 4.709e-06, 8.549e-12, 8.636e-12, 56.99
2, myFA, rastrigin, 1.095e-01, 3.417e-02, 3.451e-02, 836.66
5, myPSO, sphere, 7.270e-06, 4.590e-12, 4.637e-12, 71.41
5, myDE, sphere, 6.948e-06, 4.154e-12, 4.196e-12, 67.82
5, myFA, sphere, 7.378e-06, 3.666e-12, 3.703e-12, 556.81
5, myPSO, rastrigin, 8.358e-01, 7.864e-01, 7.943e-01, 731.12
5, myDE, rastrigin, 1.004e-01, 1.088e-01, 1.099e-01, 407.11
5, myFA, rastrigin, 5.113e+00, 1.131e+01, 1.143e+01, 998.46
20, myPSO, sphere, 9.102e-06, 8.226e-13, 8.309e-13, 237.06
20, myDE, sphere, 2.346e-04, 1.116e-06, 1.127e-06, 379.44
20, myFA, sphere, 8.759e-06, 9.870e-13, 9.969e-13, 785.48
20, myPSO, rastrigin, 3.481e+01, 1.239e+02, 1.251e+02, 1000.00
20, myDE, rastrigin, 2.984e+01, 4.999e+02, 5.049e+02, 1000.00
20, myFA, rastrigin, 3.917e+01, 1.487e+02, 1.502e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.873e-06, 8.219e-12, 8.302e-12, 31.67
2, myDE, sphere, 4.916e-06, 7.373e-12, 7.447e-12, 22.44
2, myFA, sphere, 5.080e-06, 8.070e-12, 8.152e-12, 240.02
2, myPSO, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 79.43
2, myDE, rastrigin, 4.802e-06, 8.728e-12, 8.816e-12, 56.32
2, myFA, rastrigin, 1.324e-01, 5.640e-02, 5.697e-02, 798.24
5, myPSO, sphere, 6.900e-06, 4.524e-12, 4.570e-12, 71.12
5, myDE, sphere, 6.824e-06, 4.344e-12, 4.388e-12, 68.05
5, myFA, sphere, 7.156e-06, 3.404e-12, 3.439e-12, 559.29
5, myPSO, rastrigin, 8.159e-01, 6.213e-01, 6.276e-01, 728.88
5, myDE, rastrigin, 5.987e-02, 5.581e-02, 5.638e-02, 391.89
5, myFA, rastrigin, 5.215e+00, 8.824e+00, 8.913e+00, 998.28
20, myPSO, sphere, 9.069e-06, 8.276e-13, 8.359e-13, 239.61
20, myDE, sphere, 3.305e-04, 6.513e-06, 6.579e-06, 350.68
20, myFA, sphere, 8.982e-06, 6.848e-13, 6.917e-13, 784.78
20, myPSO, rastrigin, 3.221e+01, 7.018e+01, 7.089e+01, 1000.00
20, myDE, rastrigin, 2.652e+01, 3.189e+02, 3.221e+02, 1000.00
20, myFA, rastrigin, 3.754e+01, 1.312e+02, 1.325e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.139e-06, 8.245e-12, 8.328e-12, 31.63
2, myDE, sphere, 4.412e-06, 5.884e-12, 5.943e-12, 22.55
2, myFA, sphere, 4.975e-06, 7.295e-12, 7.369e-12, 237.69
2, myPSO, rastrigin, 5.591e-06, 9.278e-12, 9.371e-12, 69.28
2, myDE, rastrigin, 4.868e-06, 9.604e-12, 9.701e-12, 57.47
2, myFA, rastrigin, 1.573e-01, 7.524e-02, 7.600e-02, 833.97
5, myPSO, sphere, 7.373e-06, 4.363e-12, 4.408e-12, 70.83
5, myDE, sphere, 6.808e-06, 4.386e-12, 4.430e-12, 67.63
5, myFA, sphere, 6.894e-06, 4.819e-12, 4.868e-12, 559.23
5, myPSO, rastrigin, 9.154e-01, 6.668e-01, 6.736e-01, 751.32
5, myDE, rastrigin, 1.194e-01, 1.045e-01, 1.056e-01, 426.46
5, myFA, rastrigin, 4.879e+00, 6.477e+00, 6.542e+00, 998.48
20, myPSO, sphere, 8.992e-06, 8.671e-13, 8.758e-13, 235.11
20, myDE, sphere, 4.051e-03, 1.065e-03, 1.076e-03, 392.79
20, myFA, sphere, 8.831e-06, 1.145e-12, 1.156e-12, 784.24
20, myPSO, rastrigin, 3.100e+01, 9.030e+01, 9.121e+01, 1000.00
20, myDE, rastrigin, 2.599e+01, 3.227e+02, 3.260e+02, 1000.00
20, myFA, rastrigin, 3.818e+01, 1.272e+02, 1.284e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.615e-06, 7.962e-12, 8.043e-12, 32.46
2, myDE, sphere, 5.172e-06, 8.830e-12, 8.919e-12, 22.00
2, myFA, sphere, 5.005e-06, 7.874e-12, 7.953e-12, 241.48
2, myPSO, rastrigin, 5.083e-06, 7.465e-12, 7.541e-12, 68.01
2, myDE, rastrigin, 4.573e-06, 7.179e-12, 7.252e-12, 57.37
2, myFA, rastrigin, 1.368e-01, 6.183e-02, 6.245e-02, 799.88
5, myPSO, sphere, 6.900e-06, 3.529e-12, 3.565e-12, 69.72
5, myDE, sphere, 6.948e-06, 4.569e-12, 4.616e-12, 67.74
5, myFA, sphere, 7.332e-06, 4.320e-12, 4.364e-12, 559.98
5, myPSO, rastrigin, 8.756e-01, 7.381e-01, 7.456e-01, 749.09
5, myDE, rastrigin, 7.965e-02, 7.285e-02, 7.359e-02, 394.32
5, myFA, rastrigin, 4.232e+00, 6.184e+00, 6.247e+00, 997.11
20, myPSO, sphere, 9.084e-06, 7.604e-13, 7.680e-13, 238.66
20, myDE, sphere, 4.103e-04, 6.128e-06, 6.190e-06, 398.56
20, myFA, sphere, 8.959e-06, 7.524e-13, 7.600e-13, 787.42
20, myPSO, rastrigin, 3.185e+01, 1.324e+02, 1.337e+02, 1000.00
20, myDE, rastrigin, 2.923e+01, 3.666e+02, 3.703e+02, 1000.00
20, myFA, rastrigin, 3.889e+01, 1.229e+02, 1.241e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.861e-06, 7.198e-12, 7.271e-12, 33.04
2, myDE, sphere, 4.864e-06, 7.459e-12, 7.534e-12, 22.53
2, myFA, sphere, 5.073e-06, 8.634e-12, 8.721e-12, 235.83
2, myPSO, rastrigin, 4.227e-06, 7.109e-12, 7.180e-12, 69.32
2, myDE, rastrigin, 4.786e-06, 7.764e-12, 7.842e-12, 57.70
2, myFA, rastrigin, 1.314e-01, 3.957e-02, 3.997e-02, 828.73
5, myPSO, sphere, 6.571e-06, 4.309e-12, 4.353e-12, 70.86
5, myDE, sphere, 7.006e-06, 4.179e-12, 4.221e-12, 68.15
5, myFA, sphere, 7.278e-06, 4.050e-12, 4.091e-12, 554.40
5, myPSO, rastrigin, 8.855e-01, 5.523e-01, 5.579e-01, 765.61
5, myDE, rastrigin, 6.965e-02, 6.444e-02, 6.510e-02, 385.21
5, myFA, rastrigin, 5.053e+00, 9.182e+00, 9.274e+00, 997.93
20, myPSO, sphere, 9.051e-06, 6.268e-13, 6.331e-13, 237.28
20, myDE, sphere, 9.404e-04, 2.518e-05, 2.544e-05, 380.13
20, myFA, sphere, 8.899e-06, 1.058e-12, 1.069e-12, 783.65
20, myPSO, rastrigin, 3.194e+01, 1.136e+02, 1.147e+02, 1000.00
20, myDE, rastrigin, 2.534e+01, 3.080e+02, 3.111e+02, 1000.00
20, myFA, rastrigin, 4.155e+01, 1.439e+02, 1.454e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.907e-06, 5.820e-12, 5.879e-12, 30.81
2, myDE, sphere, 4.436e-06, 8.851e-12, 8.940e-12, 21.89
2, myFA, sphere, 5.072e-06, 7.933e-12, 8.013e-12, 236.14
2, myPSO, rastrigin, 5.410e-06, 7.643e-12, 7.721e-12, 68.56
2, myDE, rastrigin, 4.429e-06, 7.686e-12, 7.763e-12, 57.84
2, myFA, rastrigin, 1.518e-01, 7.441e-02, 7.516e-02, 794.59
5, myPSO, sphere, 6.524e-06, 5.266e-12, 5.319e-12, 71.73
5, myDE, sphere, 6.962e-06, 4.302e-12, 4.346e-12, 67.48
5, myFA, sphere, 7.256e-06, 5.085e-12, 5.136e-12, 556.08
5, myPSO, rastrigin, 9.253e-01, 9.752e-01, 9.850e-01, 711.35
5, myDE, rastrigin, 1.294e-01, 1.120e-01, 1.131e-01, 431.40
5, myFA, rastrigin, 5.087e+00, 6.707e+00, 6.775e+00, 1000.00
20, myPSO, sphere, 8.950e-06, 9.039e-13, 9.130e-13, 239.61
20, myDE, sphere, 2.023e-04, 1.027e-06, 1.037e-06, 395.56
20, myFA, sphere, 8.821e-06, 8.693e-13, 8.780e-13, 783.73
20, myPSO, rastrigin, 3.083e+01, 9.494e+01, 9.590e+01, 1000.00
20, myDE, rastrigin, 2.826e+01, 4.442e+02, 4.487e+02, 1000.00
20, myFA, rastrigin, 4.105e+01, 1.338e+02, 1.351e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.086e-06, 7.196e-12, 7.269e-12, 31.75
2, myDE, sphere, 4.562e-06, 7.827e-12, 7.906e-12, 22.14
2, myFA, sphere, 5.476e-06, 7.936e-12, 8.016e-12, 240.44
2, myPSO, rastrigin, 4.974e-06, 7.609e-12, 7.686e-12, 70.58
2, myDE, rastrigin, 4.531e-06, 7.760e-12, 7.838e-12, 55.86
2, myFA, rastrigin, 1.434e-01, 6.690e-02, 6.757e-02, 776.23
5, myPSO, sphere, 7.266e-06, 3.710e-12, 3.748e-12, 70.93
5, myDE, sphere, 6.928e-06, 4.944e-12, 4.993e-12, 67.74
5, myFA, sphere, 7.002e-06, 5.035e-12, 5.086e-12, 558.46
5, myPSO, rastrigin, 1.065e+00, 8.960e-01, 9.050e-01, 809.63
5, myDE, rastrigin, 6.045e-02, 5.579e-02, 5.635e-02, 404.84
5, myFA, rastrigin, 4.353e+00, 6.574e+00, 6.641e+00, 996.73
20, myPSO, sphere, 9.113e-06, 6.239e-13, 6.302e-13, 237.00
20, myDE, sphere, 8.166e-04, 2.787e-05, 2.815e-05, 406.28
20, myFA, sphere, 8.859e-06, 9.142e-13, 9.234e-13, 782.78
20, myPSO, rastrigin, 3.231e+01, 1.085e+02, 1.096e+02, 1000.00
20, myDE, rastrigin, 2.793e+01, 3.980e+02, 4.020e+02, 1000.00
20, myFA, rastrigin, 3.762e+01, 1.277e+02, 1.289e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.755e-06, 8.604e-12, 8.691e-12, 31.74
2, myDE, sphere, 4.812e-06, 8.926e-12, 9.017e-12, 22.03
2, myFA, sphere, 5.073e-06, 7.968e-12, 8.049e-12, 228.38
2, myPSO, rastrigin, 5.124e-06, 8.105e-12, 8.187e-12, 69.85
2, myDE, rastrigin, 4.796e-06, 6.480e-12, 6.546e-12, 56.40
2, myFA, rastrigin, 1.522e-01, 6.184e-02, 6.247e-02, 814.67
5, myPSO, sphere, 7.022e-06, 5.021e-12, 5.072e-12, 70.44
5, myDE, sphere, 7.077e-06, 4.863e-12, 4.912e-12, 67.21
5, myFA, sphere, 7.222e-06, 4.506e-12, 4.551e-12, 557.04
5, myPSO, rastrigin, 1.035e+00, 1.186e+00, 1.198e+00, 779.28
5, myDE, rastrigin, 6.988e-02, 6.442e-02, 6.507e-02, 383.70
5, myFA, rastrigin, 4.747e+00, 6.157e+00, 6.219e+00, 998.46
20, myPSO, sphere, 9.067e-06, 7.646e-13, 7.724e-13, 243.03
20, myDE, sphere, 2.150e-03, 1.832e-04, 1.851e-04, 364.98
20, myFA, sphere, 8.821e-06, 1.183e-12, 1.195e-12, 785.92
20, myPSO, rastrigin, 3.253e+01, 1.606e+02, 1.622e+02, 1000.00
20, myDE, rastrigin, 2.528e+01, 3.415e+02, 3.450e+02, 1000.00
20, myFA, rastrigin, 3.892e+01, 1.610e+02, 1.627e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.696e-06, 8.464e-12, 8.549e-12, 33.27
2, myDE, sphere, 4.765e-06, 7.445e-12, 7.520e-12, 22.14
2, myFA, sphere, 5.296e-06, 7.131e-12, 7.203e-12, 235.00
2, myPSO, rastrigin, 4.992e-06, 8.333e-12, 8.417e-12, 70.88
2, myDE, rastrigin, 4.340e-06, 8.565e-12, 8.652e-12, 58.43
2, myFA, rastrigin, 1.401e-01, 5.546e-02, 5.602e-02, 846.58
5, myPSO, sphere, 7.143e-06, 4.145e-12, 4.187e-12, 69.84
5, myDE, sphere, 6.453e-06, 5.240e-12, 5.293e-12, 67.00
5, myFA, sphere, 7.207e-06, 4.466e-12, 4.511e-12, 557.53
5, myPSO, rastrigin, 9.651e-01, 9.395e-01, 9.490e-01, 745.40
5, myDE, rastrigin, 1.109e-01, 9.957e-02, 1.006e-01, 424.25
5, myFA, rastrigin, 5.166e+00, 7.249e+00, 7.322e+00, 997.03
20, myPSO, sphere, 9.043e-06, 7.235e-13, 7.308e-13, 238.21
20, myDE, sphere, 2.243e-03, 4.024e-04, 4.065e-04, 390.78
20, myFA, sphere, 8.836e-06, 8.328e-13, 8.412e-13, 785.55
20, myPSO, rastrigin, 3.466e+01, 1.266e+02, 1.279e+02, 1000.00
20, myDE, rastrigin, 2.687e+01, 3.624e+02, 3.660e+02, 1000.00
20, myFA, rastrigin, 3.761e+01, 1.282e+02, 1.295e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.928e-06, 8.489e-12, 8.575e-12, 31.62
2, myDE, sphere, 4.899e-06, 7.232e-12, 7.305e-12, 21.94
2, myFA, sphere, 5.557e-06, 7.585e-12, 7.662e-12, 238.34
2, myPSO, rastrigin, 5.273e-06, 8.730e-12, 8.818e-12, 70.88
2, myDE, rastrigin, 4.302e-06, 7.687e-12, 7.765e-12, 56.72
2, myFA, rastrigin, 1.106e-01, 5.199e-02, 5.252e-02, 819.08
5, myPSO, sphere, 7.164e-06, 4.878e-12, 4.927e-12, 71.23
5, myDE, sphere, 6.991e-06, 5.175e-12, 5.227e-12, 68.15
5, myFA, sphere, 7.033e-06, 4.085e-12, 4.126e-12, 557.66
5, myPSO, rastrigin, 9.651e-01, 8.802e-01, 8.890e-01, 776.29
5, myDE, rastrigin, 1.561e-01, 1.670e-01, 1.687e-01, 473.53
5, myFA, rastrigin, 4.747e+00, 7.076e+00, 7.147e+00, 997.70
20, myPSO, sphere, 9.103e-06, 5.828e-13, 5.887e-13, 239.73
20, myDE, sphere, 4.255e-04, 1.039e-05, 1.049e-05, 367.70
20, myFA, sphere, 8.812e-06, 9.240e-13, 9.333e-13, 788.43
20, myPSO, rastrigin, 3.180e+01, 9.816e+01, 9.915e+01, 1000.00
20, myDE, rastrigin, 3.103e+01, 4.135e+02, 4.177e+02, 1000.00
20, myFA, rastrigin, 3.870e+01, 1.827e+02, 1.846e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.771e-06, 7.587e-12, 7.663e-12, 31.79
2, myDE, sphere, 4.559e-06, 9.260e-12, 9.353e-12, 22.27
2, myFA, sphere, 4.930e-06, 8.554e-12, 8.640e-12, 236.53
2, myPSO, rastrigin, 5.264e-06, 9.185e-12, 9.278e-12, 74.59
2, myDE, rastrigin, 4.352e-06, 9.113e-12, 9.205e-12, 57.85
2, myFA, rastrigin, 1.036e-01, 4.995e-02, 5.046e-02, 795.40
5, myPSO, sphere, 6.983e-06, 4.803e-12, 4.851e-12, 70.12
5, myDE, sphere, 6.947e-06, 4.849e-12, 4.898e-12, 68.20
5, myFA, sphere, 7.379e-06, 3.750e-12, 3.788e-12, 552.54
5, myPSO, rastrigin, 1.204e+00, 1.016e+00, 1.026e+00, 870.22
5, myDE, rastrigin, 8.972e-02, 8.105e-02, 8.187e-02, 413.51
5, myFA, rastrigin, 4.991e+00, 8.497e+00, 8.582e+00, 997.29
20, myPSO, sphere, 9.030e-06, 6.408e-13, 6.473e-13, 236.69
20, myDE, sphere, 8.910e-04, 3.518e-05, 3.554e-05, 393.53
20, myFA, sphere, 8.867e-06, 5.901e-13, 5.961e-13, 787.03
20, myPSO, rastrigin, 3.286e+01, 1.439e+02, 1.454e+02, 1000.00
20, myDE, rastrigin, 2.804e+01, 4.187e+02, 4.230e+02, 1000.00
20, myFA, rastrigin, 3.821e+01, 1.015e+02, 1.025e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.099e-06, 9.180e-12, 9.273e-12, 32.80
2, myDE, sphere, 4.578e-06, 8.555e-12, 8.642e-12, 22.31
2, myFA, sphere, 4.738e-06, 8.050e-12, 8.131e-12, 246.35
2, myPSO, rastrigin, 4.926e-06, 8.908e-12, 8.998e-12, 71.37
2, myDE, rastrigin, 4.270e-06, 8.243e-12, 8.326e-12, 57.10
2, myFA, rastrigin, 1.260e-01, 5.365e-02, 5.419e-02, 825.18
5, myPSO, sphere, 7.164e-06, 4.195e-12, 4.237e-12, 69.89
5, myDE, sphere, 6.731e-06, 4.763e-12, 4.811e-12, 67.85
5, myFA, sphere, 7.187e-06, 3.924e-12, 3.963e-12, 555.65
5, myPSO, rastrigin, 1.104e+00, 1.305e+00, 1.318e+00, 772.18
5, myDE, rastrigin, 1.708e-01, 1.592e-01, 1.608e-01, 460.38
5, myFA, rastrigin, 4.829e+00, 6.788e+00, 6.856e+00, 1000.00
20, myPSO, sphere, 9.103e-06, 7.446e-13, 7.521e-13, 238.07
20, myDE, sphere, 1.380e-03, 7.293e-05, 7.367e-05, 436.27
20, myFA, sphere, 8.735e-06, 9.761e-13, 9.859e-13, 784.69
20, myPSO, rastrigin, 3.406e+01, 1.100e+02, 1.111e+02, 1000.00
20, myDE, rastrigin, 2.817e+01, 3.763e+02, 3.801e+02, 1000.00
20, myFA, rastrigin, 3.855e+01, 1.435e+02, 1.450e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.049e-06, 8.453e-12, 8.539e-12, 30.55
2, myDE, sphere, 4.651e-06, 6.199e-12, 6.262e-12, 22.28
2, myFA, sphere, 4.733e-06, 9.499e-12, 9.595e-12, 232.90
2, myPSO, rastrigin, 4.866e-06, 7.657e-12, 7.734e-12, 68.49
2, myDE, rastrigin, 4.656e-06, 9.932e-12, 1.003e-11, 57.36
2, myFA, rastrigin, 1.468e-01, 7.775e-02, 7.853e-02, 781.06
5, myPSO, sphere, 7.043e-06, 4.418e-12, 4.463e-12, 71.49
5, myDE, sphere, 6.893e-06, 5.432e-12, 5.487e-12, 67.11
5, myFA, sphere, 7.050e-06, 4.173e-12, 4.215e-12, 561.90
5, myPSO, rastrigin, 7.860e-01, 5.008e-01, 5.059e-01, 745.82
5, myDE, rastrigin, 1.132e-01, 9.710e-02, 9.808e-02, 428.57
5, myFA, rastrigin, 4.925e+00, 7.408e+00, 7.483e+00, 998.50
20, myPSO, sphere, 9.034e-06, 7.695e-13, 7.773e-13, 237.54
20, myDE, sphere, 9.543e-04, 8.489e-05, 8.575e-05, 375.83
20, myFA, sphere, 8.909e-06, 6.782e-13, 6.850e-13, 788.22
20, myPSO, rastrigin, 3.140e+01, 1.132e+02, 1.143e+02, 1000.00
20, myDE, rastrigin, 3.053e+01, 4.546e+02, 4.592e+02, 1000.00
20, myFA, rastrigin, 3.666e+01, 9.983e+01, 1.008e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.445e-06, 8.183e-12, 8.265e-12, 31.09
2, myDE, sphere, 4.928e-06, 7.841e-12, 7.920e-12, 22.20
2, myFA, sphere, 4.893e-06, 8.251e-12, 8.334e-12, 233.09
2, myPSO, rastrigin, 5.448e-06, 9.028e-12, 9.119e-12, 74.36
2, myDE, rastrigin, 4.081e-06, 7.795e-12, 7.874e-12, 57.26
2, myFA, rastrigin, 1.475e-01, 6.451e-02, 6.516e-02, 805.19
5, myPSO, sphere, 6.733e-06, 4.194e-12, 4.236e-12, 70.88
5, myDE, sphere, 7.075e-06, 4.048e-12, 4.089e-12, 67.19
5, myFA, sphere, 6.902e-06, 4.588e-12, 4.634e-12, 554.46
5, myPSO, rastrigin, 1.154e+00, 1.143e+00, 1.154e+00, 824.29
5, myDE, rastrigin, 1.506e-01, 1.458e-01, 1.473e-01, 447.73
5, myFA, rastrigin, 4.856e+00, 6.794e+00, 6.863e+00, 1000.00
20, myPSO, sphere, 9.117e-06, 5.281e-13, 5.334e-13, 239.64
20, myDE, sphere, 1.246e-03, 8.424e-05, 8.509e-05, 403.02
20, myFA, sphere, 8.771e-06, 1.124e-12, 1.136e-12, 786.21
20, myPSO, rastrigin, 3.213e+01, 1.125e+02, 1.136e+02, 1000.00
20, myDE, rastrigin, 2.784e+01, 3.644e+02, 3.680e+02, 1000.00
20, myFA, rastrigin, 3.770e+01, 1.236e+02, 1.248e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.774e-06, 8.410e-12, 8.495e-12, 31.76
2, myDE, sphere, 4.827e-06, 8.045e-12, 8.127e-12, 22.12
2, myFA, sphere, 5.732e-06, 7.441e-12, 7.517e-12, 228.20
2, myPSO, rastrigin, 5.048e-06, 8.739e-12, 8.828e-12, 66.83
2, myDE, rastrigin, 4.610e-06, 8.289e-12, 8.373e-12, 57.04
2, myFA, rastrigin, 1.437e-01, 6.158e-02, 6.221e-02, 812.57
5, myPSO, sphere, 7.067e-06, 4.716e-12, 4.764e-12, 70.87
5, myDE, sphere, 6.983e-06, 4.288e-12, 4.331e-12, 68.67
5, myFA, sphere, 7.329e-06, 4.321e-12, 4.365e-12, 553.27
5, myPSO, rastrigin, 8.170e-01, 8.373e-01, 8.458e-01, 726.00
5, myDE, rastrigin, 1.492e-01, 1.658e-01, 1.675e-01, 422.65
5, myFA, rastrigin, 4.512e+00, 6.390e+00, 6.454e+00, 998.43
20, myPSO, sphere, 8.921e-06, 9.928e-13, 1.003e-12, 241.77
20, myDE, sphere, 1.807e-03, 2.727e-04, 2.755e-04, 387.88
20, myFA, sphere, 8.843e-06, 1.016e-12, 1.026e-12, 784.68
20, myPSO, rastrigin, 3.183e+01, 1.349e+02, 1.363e+02, 1000.00
20, myDE, rastrigin, 2.716e+01, 3.315e+02, 3.349e+02, 1000.00
20, myFA, rastrigin, 3.914e+01, 1.268e+02, 1.281e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.820e-06, 8.648e-12, 8.736e-12, 31.85
2, myDE, sphere, 4.905e-06, 7.947e-12, 8.027e-12, 22.43
2, myFA, sphere, 5.260e-06, 7.474e-12, 7.550e-12, 236.69
2, myPSO, rastrigin, 5.117e-06, 9.059e-12, 9.150e-12, 69.46
2, myDE, rastrigin, 4.805e-06, 9.204e-12, 9.297e-12, 57.88
2, myFA, rastrigin, 1.169e-01, 4.575e-02, 4.621e-02, 822.92
5, myPSO, sphere, 7.184e-06, 4.177e-12, 4.219e-12, 71.39
5, myDE, sphere, 7.081e-06, 4.595e-12, 4.641e-12, 67.10
5, myFA, sphere, 7.105e-06, 4.398e-12, 4.443e-12, 556.03
5, myPSO, rastrigin, 1.005e+00, 9.403e-01, 9.498e-01, 770.15
5, myDE, rastrigin, 1.497e-01, 1.657e-01, 1.674e-01, 442.49
5, myFA, rastrigin, 5.194e+00, 9.979e+00, 1.008e+01, 998.39
